Unnamed: 0,category,type,prompt,difficulty,keywords,length
19,시나리오,상황극/역할극,장소 '폐허 속 카페'에서 동물과 인간이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['마이크', '강바람', '비석']",87
20,시나리오,상황극/역할극,장소 '저녁 노을 언덕'에서 살인자와 증인이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['눈발', '종소리', '비석']",56
21,시나리오,상황극/역할극,장소 '캠프파이어 주변'에서 낯선 두 사람이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['바위', '낡은 신발', '촛대']",81
22,시나리오,상황극/역할극,장소 '폐허 도시 광장'에서 탐정과 범인이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['잔디', '동전', '시든 꽃']",130
23,시나리오,상황극/역할극,장소 '한적한 카페'에서 해적 두 명이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['고양이', '버려진 가방', '바람소리']",56
24,시나리오,상황극/역할극,장소 '유적지 폐허'에서 우연히 만난 관광객이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['깃발', '벽화', '바람결']",129
25,시나리오,상황극/역할극,장소 '사막 오아시스'에서 아이와 보호자이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['흔적', '강풍', '종이비행기']",149
26,시나리오,상황극/역할극,장소 '빈 강의실'에서 배달원과 손님이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['고양이', '우산살', '별빛']",77
27,시나리오,상황극/역할극,장소 '폭풍 속 선박'에서 교회 신도들이(가) 긴장감 있는 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['라디오', '커피잔', '작은 종']",113
28,시나리오,상황극/역할극,장소 '빛나는 동굴'에서 우연히 얽힌 두 사람이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['바위', '우체통', '거친 바람']",68
29,시나리오,상황극/역할극,장소 '바닷가 방파제'에서 주인공과 조력자이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['피리', '불꽃놀이', '돌바위']",110
30,시나리오,상황극/역할극,장소 '지하 연구소'에서 불운한 모험가 둘이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['종이컵', '철문', '초콜릿']",80
31,시나리오,상황극/역할극,장소 '불 꺼진 카지노'에서 낯선 두 사람이(가) 긴장감 있는 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['버려진 상자', '책장', '잔디']",87
32,시나리오,상황극/역할극,장소 '사라진 터널'에서 소년과 노인이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['손전등', '무너진 벽', '손수건']",104
33,시나리오,상황극/역할극,장소 '빛의 정원'에서 같은 학교 학생들이(가) 잔혹한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['유리창', '구름', '낡은 장난감']",67
34,시나리오,상황극/역할극,장소 '고층 빌딩 옥상'에서 악역과 주인공이(가) 긴장감 있는 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['고요', '사슬', '촛불']",142
35,시나리오,상황극/역할극,장소 '폐허 도시 광장'에서 우연히 얽힌 두 사람이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['불씨', '형광등', '담배 연기']",121
36,시나리오,상황극/역할극,장소 '이국적 시장'에서 정체를 숨긴 두 사람이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['라디오', '강바람', '돌계단']",90
37,시나리오,상황극/역할극,장소 '해변의 절벽'에서 형제자매이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['등불', '하얀 천', '창문']",148
38,시나리오,상황극/역할극,장소 '폐가 앞마당'에서 대장장이와 손님이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['포장마차', '사슬', '모닥불']",87
39,시나리오,상황극/역할극,장소 '은하계 관측소'에서 성직자와 추적자이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['눈발', '돌담', '거울']",137
40,시나리오,상황극/역할극,장소 '하늘을 나는 열기구'에서 인질과 범인이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['낡은 지도', '유리 조각', '불빛']",118
41,시나리오,상황극/역할극,장소 '빛바랜 교회'에서 선생과 제자이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['촛불', '검은 천', '마이크']",143
42,시나리오,상황극/역할극,장소 '사라진 터널'에서 라이벌이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['시계초침', '철문', '피리']",58
43,시나리오,상황극/역할극,장소 '불 꺼진 극장'에서 길 잃은 아이와 경찰이(가) 차가운 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['별똥별', '눈발', '강풍']",76
44,시나리오,상황극/역할극,장소 '저녁 노을 언덕'에서 교환학생과 호스트이(가) 코믹 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['강풍', '돌계단', '빗방울']",69
45,시나리오,상황극/역할극,장소 '빛나는 동굴'에서 소년과 노인이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['형광등', '바다향기', '책장']",98
46,시나리오,상황극/역할극,장소 '얼어붙은 폭포 근처'에서 인질과 범인이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['깊은 숲', '신호등', '붉은 실']",65
47,시나리오,상황극/역할극,장소 '달리는 기차 안'에서 버스 승객 둘이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['타자기', '손수건', '노을']",143
48,시나리오,상황극/역할극,장소 '불타는 마을'에서 비밀조직 동료이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['붉은 실', '담요', '포스터']",54
49,시나리오,상황극/역할극,장소 '사막 오아시스'에서 기억을 나눈 두 사람이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['강바람', '돌담', '촛대']",113
50,시나리오,상황극/역할극,장소 '지하 세계'에서 동료 탐정 두 명이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['창문', '빗방울', '낡은 신발']",121
51,시나리오,상황극/역할극,장소 '붉은 숲길'에서 게임 속 캐릭터들이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['붉은 꽃', '방울소리', '달빛']",144
52,시나리오,상황극/역할극,장소 '미래 도시 스카이브리지'에서 우연히 얽힌 두 사람이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['얼음', '은빛 실', '불빛']",134
53,시나리오,상황극/역할극,장소 '불 꺼진 카지노'에서 우연히 만난 관광객이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['눈발', '버려진 가방', '거울']",95
54,시나리오,상황극/역할극,장소 '고요한 골목길'에서 시골 주민 둘이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['돌바위', '벽시계', '불빛']",101
55,시나리오,상황극/역할극,장소 '시장 골목'에서 괴물과 모험가이(가) 차가운 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['거울', '바람결', '촛대']",101
56,시나리오,상황극/역할극,장소 '늦은 밤 공원'에서 도서관 이용자 둘이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['담요', '낡은 신발', '등불']",133
57,시나리오,상황극/역할극,장소 '거대한 도서관'에서 낯선 관광객 두 명이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['별똥별', '초콜릿', '종이책']",86
58,시나리오,상황극/역할극,장소 '유적지 폐허'에서 교회 신도들이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['지갑', '유리창', '타자기']",72
59,시나리오,상황극/역할극,장소 '불타는 마을'에서 게임 속 캐릭터들이(가) 잔혹한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['바람결', '하얀 연기', '초콜릿']",54
60,시나리오,상황극/역할극,장소 '빛나는 동굴'에서 악역과 주인공이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['피아노 소리', '촛대', '돌담']",78
61,시나리오,상황극/역할극,장소 '지하 던전'에서 주인공과 조력자이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['낡은 신발', '칼날', '책상']",125
62,시나리오,상황극/역할극,장소 '검은 호수 근처'에서 새 이웃과 주민이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['우산살', '피아노 소리', '책상']",148
63,시나리오,상황극/역할극,장소 '빛바랜 교회'에서 성직자와 추적자이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['거친 바람', '종이비행기', '바위']",149
64,시나리오,상황극/역할극,장소 '하얀 모래사장'에서 버려진 아이와 구조자이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['동전', '작은 종', '거친 바람']",74
65,시나리오,상황극/역할극,장소 '유적지 폐허'에서 우연히 만난 관광객이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['달빛', '별빛', '돌바위']",105
66,시나리오,상황극/역할극,장소 '학교 복도'에서 선원과 선장이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['라디오', '낡은 장난감', '창문']",55
67,시나리오,상황극/역할극,장소 '작은 극장'에서 무인도 생존자들이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['깃발', '모래시계', '등불']",141
68,시나리오,상황극/역할극,장소 '달빛 아래 강가'에서 마녀와 인간이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['담배 연기', '철조망', '책갈피']",85
69,시나리오,상황극/역할극,장소 '도심의 폐공장'에서 우주인과 외계인이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['돌바위', '노란 조명', '얼음']",102
70,시나리오,상황극/역할극,장소 '황혼의 항구'에서 오래된 친구 두 명이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['담요', '방울소리', '철조망']",121
71,시나리오,상황극/역할극,장소 '이국적 시장'에서 불운한 모험가 둘이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['형광등', '촛불', '손수건']",52
72,시나리오,상황극/역할극,장소 '해적선 갑판'에서 연인이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['버려진 상자', '별똥별', '발자국']",98
73,시나리오,상황극/역할극,장소 '연기 자욱한 공장'에서 저주받은 사람과 구원자이(가) 차가운 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['종소리', '강바람', '우체통']",102
74,시나리오,상황극/역할극,장소 '연극 무대 뒤'에서 왕자와 호위병이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['모닥불', '가로등', '불씨']",66
75,시나리오,상황극/역할극,장소 '폐허 도시 광장'에서 적대 관계의 두 사람이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['비행기', '우체통', '마이크']",66
76,시나리오,상황극/역할극,장소 '바닷가 방파제'에서 도서관 이용자 둘이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['빗방울', '바다향기', '손수건']",70
77,시나리오,상황극/역할극,장소 '버려진 놀이공원'에서 사기꾼과 피해자이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['모래바람', '시든 꽃', '강풍']",57
78,시나리오,상황극/역할극,장소 '밤하늘 전망대'에서 비밀조직 동료이(가) 차가운 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['무너진 벽', '유리병', '철조망']",62
79,시나리오,상황극/역할극,장소 '밤하늘 전망대'에서 경찰과 용의자이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['촛불', '고요', '손수건']",95
80,시나리오,상황극/역할극,장소 '달빛 아래 강가'에서 좀비와 생존자이(가) 차가운 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['불씨', '타자기', '흐린 하늘']",141
81,시나리오,상황극/역할극,장소 '해변의 절벽'에서 적대 관계의 두 사람이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['마이크', '모래시계', '바람결']",129
82,시나리오,상황극/역할극,장소 '태풍 후 항구'에서 의사와 환자이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['거울', '책갈피', '어둠']",77
83,시나리오,상황극/역할극,장소 '작은 극장'에서 적국 출신 두 사람이(가) 차가운 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['초콜릿', '강풍', '촛불']",134
84,시나리오,상황극/역할극,장소 '지하철 플랫폼'에서 해적 두 명이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['전화벨', '책장', '책갈피']",115
85,시나리오,상황극/역할극,장소 '수상한 골목'에서 사무실 상사와 신입이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['창문', '우편함', '강물']",142
86,시나리오,상황극/역할극,장소 '폐허 속 카페'에서 슈퍼히어로와 시민이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['낙엽', '자동차 불빛', '구두']",87
87,시나리오,상황극/역할극,장소 '버려진 놀이공원'에서 비밀을 공유한 친구들이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['모래바람', '자동차 불빛', '별똥별']",119
88,시나리오,상황극/역할극,장소 '태풍 후 항구'에서 분노한 고객과 점원이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['전화벨', '무너진 벽', '종소리']",63
89,시나리오,상황극/역할극,장소 '해적선 갑판'에서 괴물과 모험가이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['달빛', '비석', '형광등']",72
90,시나리오,상황극/역할극,장소 '지하철 플랫폼'에서 적대 관계의 두 사람이(가) 잔혹한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['고양이', '피리', '발자국']",62
91,시나리오,상황극/역할극,장소 '태풍 후 항구'에서 새로 만난 동료이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['타자기', '담요', '어둠']",132
92,시나리오,상황극/역할극,장소 '은하계 관측소'에서 마법사와 제자이(가) 코믹 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['붉은 꽃', '불빛', '거미줄']",146
93,시나리오,상황극/역할극,장소 '캠프파이어 주변'에서 우연히 얽힌 두 사람이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['종이책', '별빛', '모래시계']",96
94,시나리오,상황극/역할극,장소 '잃어버린 숲속'에서 학자와 제자이(가) 스릴러 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['강풍', '사라진 목소리', '모닥불']",110
95,시나리오,상황극/역할극,장소 '폭풍 속 선박'에서 난민과 기자이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['돌담', '포스터', '종소리']",85
96,시나리오,상황극/역할극,장소 '폭설 내리는 산길'에서 AI와 인간이(가) 긴장감 있는 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['별빛', '흔적', '초승달']",72
97,시나리오,상황극/역할극,장소 '조용한 전시장'에서 사제와 신자이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['우체통', '담요', '불빛']",53
98,시나리오,상황극/역할극,장소 '폭설 내리는 산길'에서 분노한 고객과 점원이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['촛대', '깃발', '손수건']",146
99,시나리오,상황극/역할극,장소 '해변의 절벽'에서 주인공과 조력자이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['종이비행기', '철문', '손전등']",91
100,시나리오,상황극/역할극,장소 '한밤의 산책로'에서 조종사와 기계이(가) 차가운 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['거미줄', '낡은 장난감', '하얀 연기']",122
101,시나리오,상황극/역할극,장소 '은하계 관측소'에서 마법사와 제자이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['포장마차', '책상', '구두']",98
102,시나리오,상황극/역할극,장소 '도심의 폐공장'에서 연인이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['종이비행기', '바람소리', '등불']",118
103,시나리오,상황극/역할극,장소 '하늘 위 다리'에서 주인공과 조력자이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['거미줄', '붉은 실', '바람결']",77
104,시나리오,상황극/역할극,장소 '고요한 골목길'에서 군사 요원 둘이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['작은 종', '잔디', '칼날']",102
105,시나리오,상황극/역할극,장소 '연극 무대 뒤'에서 선생과 제자이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['발자국', '노란 조명', '전화벨']",65
106,시나리오,상황극/역할극,장소 '저녁 노을 언덕'에서 과거 연인이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['깊은 숲', '피리', '낡은 지도']",116
107,시나리오,상황극/역할극,장소 '지하 세계'에서 협력하는 동료들이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['흐린 하늘', '빗방울', '형광등']",63
108,시나리오,상황극/역할극,장소 '잃어버린 숲속'에서 정체를 숨긴 두 사람이(가) 긴장감 있는 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['붉은 실', '바위', '종이봉투']",148
109,시나리오,상황극/역할극,장소 '겨울 산 정상'에서 버스 승객 둘이(가) 코믹 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['거친 바람', '열쇠', '책갈피']",98
110,시나리오,상황극/역할극,장소 '어두운 저택'에서 용병 둘이(가) 코믹 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['강바람', '종이컵', '잔디']",57
111,시나리오,상황극/역할극,장소 '고요한 골목길'에서 같은 학교 학생들이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['손수건', '시계초침', '초승달']",93
112,시나리오,상황극/역할극,장소 '잃어버린 숲속'에서 학자와 제자이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['벽시계', '책장', '지갑']",88
113,시나리오,상황극/역할극,장소 '수상한 골목'에서 분노한 고객과 점원이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['낡은 우산', '바다향기', '담배 연기']",141
114,시나리오,상황극/역할극,장소 '늦은 밤 공원'에서 탐정과 범인이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['모래시계', '구름', '철조망']",59
115,시나리오,상황극/역할극,장소 '조용한 전시장'에서 교회 신도들이(가) 코믹 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['바다향기', '책상', '우편함']",137
116,시나리오,상황극/역할극,장소 '낡은 서점'에서 소년과 노인이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['사라진 목소리', '바람소리', '사슬']",98
117,시나리오,상황극/역할극,장소 '미래 도시 스카이브리지'에서 사냥꾼과 짐승이(가) 긴장감 있는 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['노을', '유리창', '시계초침']",81
118,시나리오,상황극/역할극,장소 '사라진 도서관'에서 불편한 관계의 친척이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['구름', '담배 연기', '흐린 하늘']",148
119,시나리오,상황극/역할극,장소 '불꽃놀이 축제장'에서 도둑과 추적자이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['벽시계', '벽화', '낡은 신발']",112
120,시나리오,상황극/역할극,장소 '철로 위'에서 수인과 인간이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['사슬', '깃발', '신호등']",75
121,시나리오,상황극/역할극,장소 '폐허 속 카페'에서 협력하는 동료들이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['고양이', '새벽빛', '마이크']",69
122,시나리오,상황극/역할극,장소 '고성의 탑 위'에서 서커스 단원들이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['유리 조각', '별똥별', '바위']",54
123,시나리오,상황극/역할극,장소 '황량한 사막'에서 연인이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['모래시계', '우산살', '종이컵']",80
124,시나리오,상황극/역할극,장소 '얼어붙은 폭포 근처'에서 왕자와 호위병이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['지갑', '종이배', '마이크']",100
125,시나리오,상황극/역할극,장소 '고요한 골목길'에서 학자와 제자이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['얼음', '버려진 상자', '고요']",90
126,시나리오,상황극/역할극,장소 '폐허 속 카페'에서 낯선 두 사람이(가) 잔혹한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['별똥별', '종이조각', '낡은 지도']",69
127,시나리오,상황극/역할극,장소 '빛바랜 교회'에서 모르는 행인 둘이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['돌바위', '우편함', '시계초침']",69
128,시나리오,상황극/역할극,장소 '심해 잠수정 안'에서 형제자매이(가) 긴장감 있는 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['눈발', '불씨', '손전등']",72
129,시나리오,상황극/역할극,장소 '사라진 터널'에서 낯선 남녀이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['붉은 실', '형광등', '은빛 실']",133
130,시나리오,상황극/역할극,장소 '조용한 전시장'에서 난민과 기자이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['발자국', '손전등', '모래바람']",102
