id,category,type,prompt,difficulty,keywords,length,Unnamed: 0
16,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '실패를 통해 배운 교훈을 상세히 묘사하시오.',쉬움,"['도전/자기계발', '경험담']",500,
17,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족이 함께 준비한 행사나 이벤트에 대한 경험을 작성하시오.',어려움,"['가족', '경험담']",700,
18,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '중요한 시험이나 경연대회에 참가했던 경험을 서술하시오.',쉬움,"['도전/자기계발', '경험담']",600,
19,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '누군가에게 도움을 주고 보람을 느꼈던 순간을 적으시오.',중간,"['인간관계', '경험담']",500,
20,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연히 들은 말이 자신에게 큰 울림을 준 경험을 묘사하시오.',쉬움,"['특별한 순간', '경험담']",700,
21,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '비일상적인 경험이 삶의 태도를 바꾼 사례를 작성하시오.',어려움,"['특별한 순간', '경험담']",700,
22,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '여행에서 겪은 예상치 못한 해프닝을 서술하시오.',중간,"['여행', '경험담']",700,
23,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '타인에게 받은 작은 친절이 삶에 미친 영향을 적으시오.',어려움,"['인간관계', '경험담']",500,
24,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '도움을 청한 낯선 사람과의 만남을 서술하시오.',쉬움,"['특별한 순간', '경험담']",800,
25,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '예상치 못한 선물을 받았던 경험을 묘사하시오.',어려움,"['특별한 순간', '경험담']",700,
26,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '첫 아르바이트에서 느낀 감정을 상세히 적으시오.',쉬움,"['특별한 순간', '경험담']",700,
27,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족이 함께 준비한 행사나 이벤트에 대한 경험을 작성하시오.',어려움,"['가족', '경험담']",800,
28,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '선생님이나 멘토와의 대화로 삶이 바뀐 경험을 서술하시오.',쉬움,"['인간관계', '경험담']",600,
29,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '계획하지 않은 여행에서 느낀 특별한 순간을 적으시오.',쉬움,"['여행', '경험담']",600,
30,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '중요한 시험이나 경연대회에 참가했던 경험을 서술하시오.',쉬움,"['도전/자기계발', '경험담']",500,
31,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '시험 기간 중 겪은 스트레스와 이를 극복한 방법을 설명하시오.',중간,"['학교생활', '경험담']",700,
32,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '친구와의 오해를 풀었던 경험을 상세히 묘사하시오.',중간,"['인간관계', '경험담']",600,
33,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족이 위기에 처했을 때 함께 극복한 경험을 적으시오.',중간,"['가족', '경험담']",700,
34,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '교내 동아리 활동을 통해 배우거나 깨달은 점을 에세이로 작성하시오.',중간,"['학교생활', '경험담']",700,
35,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '배신이나 실망을 경험했을 때의 감정과 극복 과정을 작성하시오.',어려움,"['인간관계', '경험담']",700,
36,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '비일상적인 경험이 삶의 태도를 바꾼 사례를 작성하시오.',중간,"['특별한 순간', '경험담']",600,
37,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '잊을 수 없는 공연이나 행사에 참여한 경험을 작성하시오.',중간,"['특별한 순간', '경험담']",700,
38,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '해외 여행 중 문화 충격을 받은 경험을 작성하시오.',중간,"['여행', '경험담']",600,
39,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '낯선 도시에서 길을 잃었던 경험과 그때의 감정을 묘사하시오.',중간,"['여행', '경험담']",500,
40,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '자신의 한계를 넘어섰던 순간을 에세이로 작성하시오.',중간,"['도전/자기계발', '경험담']",700,
41,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학교에서 가장 기억에 남는 수업을 묘사하고 그 이유를 설명하시오.',쉬움,"['학교생활', '경험담']",500,
42,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '스스로 세운 목표를 달성한 과정과 성취감을 묘사하시오.',어려움,"['도전/자기계발', '경험담']",700,
43,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '작은 성취가 자신감을 불어넣어준 경험을 적으시오.',쉬움,"['도전/자기계발', '경험담']",800,
44,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '처음으로 새로운 기술이나 취미를 배우며 겪은 도전을 서술하시오.',어려움,"['도전/자기계발', '경험담']",600,
45,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '첫 번째 발표 경험과 당시 느낀 감정을 묘사하시오.',중간,"['학교생활', '경험담']",600,
46,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연히 들은 말이 자신에게 큰 울림을 준 경험을 묘사하시오.',쉬움,"['특별한 순간', '경험담']",700,
47,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '잊을 수 없는 공연이나 행사에 참여한 경험을 작성하시오.',중간,"['특별한 순간', '경험담']",700,
48,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '형제자매와의 경쟁 또는 협력 경험을 서술하시오.',어려움,"['가족', '경험담']",600,
49,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '계획하지 않은 여행에서 느낀 특별한 순간을 적으시오.',쉬움,"['여행', '경험담']",700,
50,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '형제자매와의 경쟁 또는 협력 경험을 서술하시오.',쉬움,"['가족', '경험담']",600,
51,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학교 도서관에서의 특별한 경험을 묘사하시오.',어려움,"['학교생활', '경험담']",500,
52,에세이,경험담 에세이,"자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학교 행사(체육대회, 축제 등) 중 인상 깊었던 경험을 상세히 적으시오.'",어려움,"['학교생활', '경험담']",600,
53,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '교내 동아리 활동을 통해 배우거나 깨달은 점을 에세이로 작성하시오.',쉬움,"['학교생활', '경험담']",800,
54,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '낯선 도시에서 길을 잃었던 경험과 그때의 감정을 묘사하시오.',어려움,"['여행', '경험담']",700,
55,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학급 친구들과 협력해 문제를 해결했던 경험을 서술하시오.',쉬움,"['학교생활', '경험담']",800,
56,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '첫 번째 발표 경험과 당시 느낀 감정을 묘사하시오.',중간,"['학교생활', '경험담']",600,
57,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족 구성원의 조언이 본인의 삶을 바꾼 경험을 작성하시오.',중간,"['가족', '경험담']",600,
58,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '스스로 세운 목표를 달성한 과정과 성취감을 묘사하시오.',쉬움,"['도전/자기계발', '경험담']",500,
59,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '어린 시절 부모님과의 특별한 대화를 회상하시오.',중간,"['가족', '경험담']",600,
60,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '첫 번째 발표 경험과 당시 느낀 감정을 묘사하시오.',쉬움,"['학교생활', '경험담']",800,
61,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '첫 아르바이트에서 느낀 감정을 상세히 적으시오.',어려움,"['특별한 순간', '경험담']",700,
62,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족과 함께한 명절 중 특별히 기억에 남는 순간을 설명하시오.',어려움,"['가족', '경험담']",600,
63,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연한 만남으로 새로운 시각을 얻게 된 경험을 작성하시오.',중간,"['인간관계', '경험담']",800,
64,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '예상치 못한 선물을 받았던 경험을 묘사하시오.',쉬움,"['특별한 순간', '경험담']",700,
65,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '친구와의 오해를 풀었던 경험을 상세히 묘사하시오.',쉬움,"['인간관계', '경험담']",500,
66,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족과 함께한 여행 중 가장 기억에 남는 순간을 묘사하시오.',어려움,"['가족', '경험담']",600,
67,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족 구성원의 조언이 본인의 삶을 바꾼 경험을 작성하시오.',중간,"['가족', '경험담']",800,
68,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '동료와의 협력으로 문제를 해결한 경험을 적으시오.',어려움,"['인간관계', '경험담']",800,
69,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '여행 중 겪은 불편한 상황을 해결한 경험을 설명하시오.',중간,"['여행', '경험담']",800,
70,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '배신이나 실망을 경험했을 때의 감정과 극복 과정을 작성하시오.',어려움,"['인간관계', '경험담']",500,
71,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연히 알게 된 장소에서의 뜻깊은 추억을 묘사하시오.',어려움,"['여행', '경험담']",800,
72,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족이 함께 준비한 행사나 이벤트에 대한 경험을 작성하시오.',쉬움,"['가족', '경험담']",500,
73,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '혼자 여행하며 깨달은 점을 에세이로 작성하시오.',중간,"['여행', '경험담']",700,
74,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '어린 시절 부모님과의 특별한 대화를 회상하시오.',중간,"['가족', '경험담']",800,
75,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '리더십을 발휘한 경험을 구체적으로 묘사하시오.',중간,"['도전/자기계발', '경험담']",500,
76,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연한 만남으로 새로운 시각을 얻게 된 경험을 작성하시오.',쉬움,"['인간관계', '경험담']",800,
77,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '도움을 청한 낯선 사람과의 만남을 서술하시오.',어려움,"['특별한 순간', '경험담']",600,
78,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '사소한 대화가 인생의 전환점이 되었던 순간을 묘사하시오.',쉬움,"['인간관계', '경험담']",600,
79,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '형제자매와의 경쟁 또는 협력 경험을 서술하시오.',어려움,"['가족', '경험담']",800,
80,에세이,경험담 에세이,"자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학교 행사(체육대회, 축제 등) 중 인상 깊었던 경험을 상세히 적으시오.'",어려움,"['학교생활', '경험담']",500,
81,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연한 만남으로 새로운 시각을 얻게 된 경험을 작성하시오.',쉬움,"['인간관계', '경험담']",700,
82,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연히 알게 된 장소에서의 뜻깊은 추억을 묘사하시오.',어려움,"['여행', '경험담']",800,
83,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '조부모와의 교류가 자신에게 미친 영향을 설명하시오.',어려움,"['가족', '경험담']",700,
84,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학창시절 겪은 가장 큰 실패 경험과 그것을 극복한 과정을 서술하시오.',쉬움,"['학교생활', '경험담']",700,
85,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '갈등을 성장의 기회로 만든 경험을 서술하시오.',중간,"['인간관계', '경험담']",800,
86,에세이,경험담 에세이,"자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '새로운 과목을 처음 배웠을 때의 느낌과 어려움, 극복 과정을 적으시오.'",중간,"['학교생활', '경험담']",800,
87,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '사소한 대화가 인생의 전환점이 되었던 순간을 묘사하시오.',중간,"['인간관계', '경험담']",500,
88,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '첫 아르바이트에서 느낀 감정을 상세히 적으시오.',쉬움,"['특별한 순간', '경험담']",600,
89,에세이,경험담 에세이,"자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학교 행사(체육대회, 축제 등) 중 인상 깊었던 경험을 상세히 적으시오.'",쉬움,"['학교생활', '경험담']",600,
90,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '작은 성취가 자신감을 불어넣어준 경험을 적으시오.',쉬움,"['도전/자기계발', '경험담']",600,
91,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '첫 아르바이트에서 느낀 감정을 상세히 적으시오.',중간,"['특별한 순간', '경험담']",600,
92,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '잊을 수 없는 공연이나 행사에 참여한 경험을 작성하시오.',어려움,"['특별한 순간', '경험담']",800,
93,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '해외 여행 중 문화 충격을 받은 경험을 작성하시오.',어려움,"['여행', '경험담']",500,
94,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '자신의 한계를 넘어섰던 순간을 에세이로 작성하시오.',어려움,"['도전/자기계발', '경험담']",800,
95,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '길 잃은 동물을 도와준 경험을 서술하시오.',어려움,"['특별한 순간', '경험담']",700,
96,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족과 함께한 명절 중 특별히 기억에 남는 순간을 설명하시오.',쉬움,"['가족', '경험담']",700,
97,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '교내 동아리 활동을 통해 배우거나 깨달은 점을 에세이로 작성하시오.',중간,"['학교생활', '경험담']",600,
98,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '어린 시절 꿈을 이루었던 순간을 묘사하시오.',중간,"['특별한 순간', '경험담']",800,
99,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '조부모와의 교류가 자신에게 미친 영향을 설명하시오.',쉬움,"['가족', '경험담']",500,
100,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '리더십을 발휘한 경험을 구체적으로 묘사하시오.',어려움,"['도전/자기계발', '경험담']",500,
101,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '처음 만난 사람과 친해진 경험을 서술하시오.',어려움,"['인간관계', '경험담']",800,
102,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '친구와의 오해를 풀었던 경험을 상세히 묘사하시오.',중간,"['인간관계', '경험담']",600,
103,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '목표를 위해 포기하지 않고 노력했던 경험을 적으시오.',쉬움,"['도전/자기계발', '경험담']",600,
104,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '사소한 대화가 인생의 전환점이 되었던 순간을 묘사하시오.',중간,"['인간관계', '경험담']",600,
105,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '여행 중 만난 사람과의 잊지 못할 만남을 묘사하시오.',중간,"['여행', '경험담']",800,
106,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '조부모와의 교류가 자신에게 미친 영향을 설명하시오.',어려움,"['가족', '경험담']",600,
107,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '혼자 여행하며 깨달은 점을 에세이로 작성하시오.',중간,"['여행', '경험담']",800,
108,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '낯선 도시에서 길을 잃었던 경험과 그때의 감정을 묘사하시오.',어려움,"['여행', '경험담']",600,
109,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '길 잃은 동물을 도와준 경험을 서술하시오.',중간,"['특별한 순간', '경험담']",600,
110,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '비 오는 날 우연히 겪은 특별한 일을 작성하시오.',쉬움,"['특별한 순간', '경험담']",800,
111,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '예상치 못한 선물을 받았던 경험을 묘사하시오.',어려움,"['특별한 순간', '경험담']",700,
112,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '비일상적인 경험이 삶의 태도를 바꾼 사례를 작성하시오.',어려움,"['특별한 순간', '경험담']",700,
113,에세이,경험담 에세이,"자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '자연 속에서 겪은 특별한 경험(등산, 캠핑 등)을 작성하시오.'",어려움,"['여행', '경험담']",600,
114,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '작은 성취가 자신감을 불어넣어준 경험을 적으시오.',어려움,"['도전/자기계발', '경험담']",800,
115,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '습관을 바꾸고 성장한 경험을 작성하시오.',중간,"['도전/자기계발', '경험담']",800,
116,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '친구와의 오해를 풀었던 경험을 상세히 묘사하시오.',어려움,"['인간관계', '경험담']",700,
117,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족과 함께한 명절 중 특별히 기억에 남는 순간을 설명하시오.',중간,"['가족', '경험담']",700,
118,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학창시절 겪은 가장 큰 실패 경험과 그것을 극복한 과정을 서술하시오.',쉬움,"['학교생활', '경험담']",700,
119,에세이,경험담 에세이,"자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '자연 속에서 겪은 특별한 경험(등산, 캠핑 등)을 작성하시오.'",쉬움,"['여행', '경험담']",800,
120,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '해외 여행 중 문화 충격을 받은 경험을 작성하시오.',중간,"['여행', '경험담']",500,
121,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '시험 기간 중 겪은 스트레스와 이를 극복한 방법을 설명하시오.',쉬움,"['학교생활', '경험담']",500,
122,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족 구성원의 조언이 본인의 삶을 바꾼 경험을 작성하시오.',중간,"['가족', '경험담']",600,
123,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '교내 동아리 활동을 통해 배우거나 깨달은 점을 에세이로 작성하시오.',중간,"['학교생활', '경험담']",800,
124,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '타인에게 받은 작은 친절이 삶에 미친 영향을 적으시오.',쉬움,"['인간관계', '경험담']",800,
125,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '계획하지 않은 여행에서 느낀 특별한 순간을 적으시오.',중간,"['여행', '경험담']",800,
